Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,UpDown
2002-06-12,0.7549999952316284,0.7335000038146973,0.7509999871253967,2,600,12,2002,1
2002-06-13,0.7875000238418579,0.7519999742507935,0.777999997138977,3,600,13,2002,1
2002-06-14,0.7889999747276306,0.7649999856948853,0.7879999876022339,4,600,14,2002,1
2002-06-17,0.8040000200271606,0.7900000214576721,0.7910000085830688,0,600,17,2002,1
2002-06-18,0.7912999987602234,0.7730000019073486,0.7739999890327454,1,600,18,2002,0
2002-06-19,0.7879999876022339,0.7670000195503235,0.7680000066757202,2,600,19,2002,0
2002-06-20,0.7749999761581421,0.753000020980835,0.7695000171661377,3,600,20,2002,1
2002-06-21,0.7799999713897705,0.7480000257492065,0.7556999921798706,4,600,21,2002,0
2002-06-24,0.7789999842643738,0.7534999847412109,0.7777000069618225,0,600,24,2002,1
2002-06-25,0.7879999876022339,0.7720000147819519,0.7731999754905701,1,600,25,2002,0
2002-06-26,0.7860000133514404,0.7580000162124634,0.785099983215332,2,600,26,2002,1
2002-06-27,0.7969999909400941,0.7820000052452087,0.7936999797821045,3,600,27,2002,1
2002-06-28,0.7969999909400941,0.7760000228881836,0.7937999963760376,4,600,28,2002,1
2002-07-01,0.7950000166893005,0.7825000286102295,0.7918999791145325,0,700,1,2002,0
2002-07-02,0.8029999732971191,0.7829999923706055,0.7897999882698059,1,700,2,2002,0
2002-07-03,0.7925000190734863,0.7710000276565552,0.7860000133514404,2,700,3,2002,0
2002-07-08,0.7850000262260437,0.7559999823570251,0.7613999843597412,0,700,8,2002,0
2002-07-09,0.7739999890327454,0.7509999871253967,0.7695999741554259,1,700,9,2002,1
2002-07-10,0.8009999990463257,0.7699999809265137,0.789900004863739,2,700,10,2002,1
2002-07-11,0.8080000281333923,0.7699999809265137,0.79830002784729,3,700,11,2002,1
2002-07-12,0.8280000090599059,0.7699999809265137,0.8244000077247621,4,700,12,2002,1
2002-07-15,0.8327000141143799,0.8075000047683716,0.8084999918937683,0,700,15,2002,0
2002-07-16,0.8500000238418579,0.8050000071525574,0.845300018787384,1,700,16,2002,1
2002-07-17,0.8504999876022339,0.8280000090599059,0.8483999967575073,2,700,17,2002,1
2002-07-18,0.8486999869346619,0.8259999752044678,0.8335000276565552,3,700,18,2002,0
2002-07-19,0.847000002861023,0.8209999799728394,0.8385999798774719,4,700,19,2002,1
2002-07-22,0.8364999890327454,0.8019999861717224,0.8113999962806702,0,700,22,2002,0
2002-07-23,0.8240000009536743,0.7940000295639038,0.795199990272522,1,700,23,2002,0
2002-07-24,0.8249999880790709,0.7910000085830688,0.8233000040054321,2,700,24,2002,1
2002-07-25,0.8289999961853027,0.8140000104904175,0.8223999738693237,3,700,25,2002,0
2002-07-26,0.8270000219345093,0.8069999814033508,0.8220999836921692,4,700,26,2002,0
2002-07-29,0.8349999785423279,0.8190000057220459,0.83160001039505,0,700,29,2002,1
2002-07-30,0.8579999804496765,0.8299999833106995,0.8561000227928162,1,700,30,2002,1
2002-07-31,0.8640000224113464,0.7900000214576721,0.830299973487854,2,700,31,2002,0
2002-08-01,0.7919999957084656,0.7570000290870667,0.7621999979019165,3,800,1,2002,0
2002-08-02,0.777999997138977,0.7480000257492065,0.7748000025749207,4,800,2,2002,1
2002-08-05,0.77920001745224,0.7609999775886536,0.7681999802589417,0,800,5,2002,0
2002-08-06,0.7789999842643738,0.765999972820282,0.7746999859809875,1,800,6,2002,1
2002-08-07,0.7789999842643738,0.75,0.7545999884605408,2,800,7,2002,0
2002-08-08,0.7649999856948853,0.7440000176429749,0.7554000020027161,3,800,8,2002,1
2002-08-09,0.7639999985694885,0.7475000023841858,0.7549999952316284,4,800,9,2002,0
2002-08-12,0.781000018119812,0.7455000281333923,0.7774999737739563,0,800,12,2002,1
2002-08-13,0.7799999713897705,0.7670000195503235,0.7738000154495239,1,800,13,2002,0
2002-08-14,0.7879999876022339,0.7689999938011169,0.7764000296592712,2,800,14,2002,1
2002-08-15,0.8000000119209291,0.7739999890327454,0.7975999712944031,3,800,15,2002,1
